"id","participant_id","item_id","item","item_type","trial_index","correct_answer","response","is_correct","reaction_time","trial_ptr_id","condition","first_mention","recent_mention","knowledge_cue","start","end","is_start","is_end","passage_reading_time"
202,121,"5_tb_1_e_e_im",5,"critical",5,"study","hall","False",15258.299999997,202,"True Belief","End","End","Implicit","hall","study","True","False",27603.400000006
205,163,"10_tb_1_e_e_im",10,"critical",5,"van","van","True",9813,205,"True Belief","End","End","Implicit","toolbox","van","False","True",19236.8999996185
208,175,"7_tb_1_s_s_ex",7,"critical",5,"fridge","Fridge","True",5764,208,"True Belief","Start","Start","Explicit","garage","fridge","False","True",21471
211,119,"3_tb_1_s_s_im",3,"critical",5,"basket","dryer","False",38394.900000006,211,"True Belief","Start","Start","Implicit","sink","basket","False","False",17358.2000000179
214,117,"3_tb_1_e_s_ex",3,"critical",5,"basket","basket","True",12631.3000001907,214,"True Belief","End","Start","Explicit","sink","basket","False","True",28817.6999998093
217,223,"2_fb_1_s_s_im",2,"critical",5,"cupboard","cupboard","True",6016,217,"False Belief","Start","Start","Implicit","cupboard","fridge","True","False",15848
220,108,"9_fb_1_s_s_ex",9,"critical",5,"cupboard","cupboard","True",12763.7000000002,220,"False Belief","Start","Start","Explicit","cupboard","drawer","True","False",18691.2000000002
223,184,"1_tb_1_e_e_im",1,"critical",5,"basket","basket","True",5208.60000002384,223,"True Belief","End","End","Implicit","box","basket","False","True",30014.7999999821
226,165,"9_fb_1_s_e_ex",9,"critical",5,"cupboard","cupboard","True",6180,226,"False Belief","Start","End","Explicit","cupboard","drawer","True","False",32977.5
229,159,"3_fb_1_e_e_im",3,"critical",5,"sink","basket","False",8423.29999995232,229,"False Belief","End","End","Implicit","sink","basket","False","True",23685.7999999523
232,150,"10_fb_1_e_e_im",10,"critical",5,"toolbox","van","False",4762.19999999553,232,"False Belief","End","End","Implicit","toolbox","van","False","True",33604.6000000015
235,266,"4_fb_1_e_s_ex",4,"critical",5,"shed","shed","True",7893,235,"False Belief","End","Start","Explicit","shed","garage","True","False",32031
238,142,"7_fb_1_s_e_im",7,"critical",5,"garage","garage","True",7451.89999985695,238,"False Belief","Start","End","Implicit","garage","fridge","True","False",32951.7999999523
241,193,"11_fb_1_s_s_ex",11,"critical",5,"suitcase","suitcase","True",8151.89999997616,241,"False Belief","Start","Start","Explicit","suitcase","backpack","True","False",17214.8999999762
244,170,"7_tb_1_e_s_im",7,"critical",5,"fridge","fridge","True",14276.7000000477,244,"True Belief","End","Start","Implicit","garage","fridge","False","True",24056
247,275,"6_fb_1_s_s_im",6,"critical",5,"drawer","drawer","True",7156.10000038147,247,"False Belief","Start","Start","Implicit","drawer","cabinet","True","False",20896.7000002861
250,286,"12_tb_1_e_e_im",12,"critical",5,"hut","hut","True",4085.89999999851,250,"True Belief","End","End","Implicit","stable","hut","False","True",28889.5999999978
253,131,"4_tb_1_e_s_im",4,"critical",5,"garage","shed","False",5249.70000004768,253,"True Belief","End","Start","Implicit","shed","garage","True","False",39011.3000001907
256,389,"2_fb_1_s_s_ex",2,"critical",5,"cupboard","gold","False",4115,256,"False Belief","Start","Start","Explicit","cupboard","fridge","False","False",734.89999961853
259,182,"4_tb_1_s_s_ex",4,"critical",5,"garage","garage","True",10256.3000000007,259,"True Belief","Start","Start","Explicit","shed","garage","False","True",27318.8000000007
262,232,"1_tb_1_s_e_im",1,"critical",5,"basket","basket","True",7044.70000001788,262,"True Belief","Start","End","Implicit","box","basket","False","True",41556.3000000119
265,226,"9_fb_1_s_e_im",9,"critical",5,"cupboard","drawer","False",11293,265,"False Belief","Start","End","Implicit","cupboard","drawer","False","True",14313.7999999523
268,160,"6_fb_1_s_e_ex",6,"critical",5,"drawer","drawer","True",7683.89999999106,268,"False Belief","Start","End","Explicit","drawer","cabinet","True","False",31808.099999994
271,257,"6_tb_1_s_e_im",6,"critical",5,"cabinet","cabinet","True",7782.19999980927,271,"True Belief","Start","End","Implicit","drawer","cabinet","False","True",18931
274,234,"9_fb_1_e_s_im",9,"critical",5,"cupboard","drawer","False",7362.69999999925,274,"False Belief","End","Start","Implicit","cupboard","drawer","False","True",13588
277,228,"5_fb_1_e_s_im",5,"critical",5,"hall","hall","True",10260.5,277,"False Belief","End","Start","Implicit","hall","study","True","False",23281.5
280,174,"4_tb_1_e_e_im",4,"critical",5,"garage","shed","False",26541.5,280,"True Belief","End","End","Implicit","shed","garage","True","False",21968.400000006
283,329,"4_fb_1_s_s_ex",4,"critical",5,"shed","shed.","False",4826.60000014305,283,"False Belief","Start","Start","Explicit","shed","garage","False","False",8119.70000004768
286,269,"12_fb_1_e_s_ex",12,"critical",5,"stable","Hut","False",4575,286,"False Belief","End","Start","Explicit","stable","hut","False","True",24128
289,308,"2_fb_1_e_e_im",2,"critical",5,"cupboard","cupboard","True",6050.90000009537,289,"False Belief","End","End","Implicit","cupboard","fridge","True","False",20710.5
292,306,"12_fb_1_e_s_im",12,"critical",5,"stable","house","False",46035.7999999523,292,"False Belief","End","Start","Implicit","stable","hut","False","False",1208.29999995232
295,209,"12_tb_1_s_e_ex",12,"critical",5,"hut","stable","False",13047.099999994,295,"True Belief","Start","End","Explicit","stable","hut","True","False",25931
298,341,"11_fb_1_s_s_ex",11,"critical",5,"suitcase","suitcase","True",4598.30000000005,298,"False Belief","Start","Start","Explicit","suitcase","backpack","True","False",18794.7
301,297,"12_tb_1_s_e_im",12,"critical",5,"hut","BARN","False",11460.2999999523,301,"True Belief","Start","End","Implicit","stable","hut","False","False",39312.6999998093
304,180,"5_tb_1_e_s_ex",5,"critical",5,"study","bathroom","False",20281.7000000477,304,"True Belief","End","Start","Explicit","hall","study","False","False",32141.2000000477
307,196,"3_fb_1_e_s_im",3,"critical",5,"sink","sink","True",6705,307,"False Belief","End","Start","Implicit","sink","basket","True","False",53819.5999999046
310,326,"12_fb_1_e_s_ex",12,"critical",5,"stable","stable","True",8907.59999999404,310,"False Belief","End","Start","Explicit","stable","hut","True","False",24069.099999994
313,351,"9_fb_1_e_e_im",9,"critical",5,"cupboard","drawer","False",9527,313,"False Belief","End","End","Implicit","cupboard","drawer","False","True",14859
316,138,"4_fb_1_e_s_ex",4,"critical",5,"shed","shed","True",7681.40000000037,316,"False Belief","End","Start","Explicit","shed","garage","True","False",39106.8000000007
319,155,"2_tb_1_s_s_im",2,"critical",5,"fridge","fridge","True",22379.3999999985,319,"True Belief","Start","Start","Implicit","cupboard","fridge","False","True",32592
322,125,"9_tb_1_s_e_im",9,"critical",5,"drawer","drawer","True",23455.1999999881,322,"True Belief","Start","End","Implicit","cupboard","drawer","False","True",61597.8999999762
325,243,"4_fb_1_s_s_im",4,"critical",5,"shed","1","False",5906,325,"False Belief","Start","Start","Implicit","shed","garage","False","False",1693
328,200,"6_fb_1_s_s_im",6,"critical",5,"drawer","drawer","True",10276.4000000358,328,"False Belief","Start","Start","Implicit","drawer","cabinet","True","False",26106.3000000119
331,366,"5_fb_1_s_e_im",5,"critical",5,"hall","bathroom","False",5244.09999999776,331,"False Belief","Start","End","Implicit","hall","study","False","False",30180.6999999993
334,169,"6_tb_1_s_e_ex",6,"critical",5,"cabinet","cabinet","True",18943.5,334,"True Belief","Start","End","Explicit","drawer","cabinet","False","True",18602
337,112,"2_tb_1_s_e_ex",2,"critical",5,"fridge","cupboard","False",22210.8999999762,337,"True Belief","Start","End","Explicit","cupboard","fridge","True","False",15701.5
340,315,"2_fb_1_s_s_im",2,"critical",5,"cupboard","cupboard","True",9680.70000001788,340,"False Belief","Start","Start","Implicit","cupboard","fridge","True","False",37738.7000000179
343,173,"6_fb_1_s_e_im",6,"critical",5,"drawer","cabinet","False",12823.3999999999,343,"False Belief","Start","End","Implicit","drawer","cabinet","False","True",31475.8999999999
346,249,"11_fb_1_s_e_im",11,"critical",5,"suitcase","backpack","False",7038.40000000596,346,"False Belief","Start","End","Implicit","suitcase","backpack","False","True",17773.3000000119
349,288,"2_tb_1_e_e_im",2,"critical",5,"fridge","kitchen","False",70695.5,349,"True Belief","End","End","Implicit","cupboard","fridge","False","False",4001.5
352,255,"8_fb_1_e_e_im",8,"critical",5,"hall","hall","True",20488.7999992371,352,"False Belief","End","End","Implicit","hall","bedroom","True","False",23799.8999996185
355,406,"12_fb_1_s_e_ex",12,"critical",5,"stable","stable","True",6889.59999999963,355,"False Belief","Start","End","Explicit","stable","hut","True","False",22198
358,317,"10_tb_1_e_s_im",10,"critical",5,"van","van","True",11461.1000000238,358,"True Belief","End","Start","Implicit","toolbox","van","False","True",47148.6999999285
361,137,"10_fb_1_s_e_ex",10,"critical",5,"toolbox","toolbox","True",48641.3999999762,361,"False Belief","Start","End","Explicit","toolbox","van","True","False",9218.39999997616
364,360,"4_fb_1_e_s_im",4,"critical",5,"shed","FOOTBALL","False",11369.8000001907,364,"False Belief","End","Start","Implicit","shed","garage","False","False",1438.30000019073
367,187,"3_fb_1_e_e_ex",3,"critical",5,"sink","sink","True",11720.0999999046,367,"False Belief","End","End","Explicit","sink","basket","True","False",14646.5999999046
370,238,"3_tb_1_s_e_im",3,"critical",5,"basket","basket","True",15456.2000000477,370,"True Belief","Start","End","Implicit","sink","basket","False","True",28150.1999998093
373,188,"2_fb_1_e_e_im",2,"critical",5,"cupboard","fridge","False",11748.1000000006,373,"False Belief","End","End","Implicit","cupboard","fridge","False","True",44480.2000000002
376,332,"7_fb_1_e_e_im",7,"critical",5,"garage","fridge","False",5776.39999997616,376,"False Belief","End","End","Implicit","garage","fridge","False","True",16655.5999999046
379,278,"7_tb_1_e_s_ex",7,"critical",5,"fridge","fridge","True",26792,379,"True Belief","End","Start","Explicit","garage","fridge","False","True",29656
382,331,"5_fb_1_e_e_ex",5,"critical",5,"hall","hall","True",6578.79999999981,382,"False Belief","End","End","Explicit","hall","study","True","False",38847.0999999996
385,415,"1_tb_1_e_e_ex",1,"critical",5,"basket","room","False",4037.70000004768,385,"True Belief","End","End","Explicit","box","basket","False","False",3818.29999995232
388,133,"8_tb_1_e_s_ex",8,"critical",5,"bedroom","HALL","False",45982.8000001907,388,"True Belief","End","Start","Explicit","hall","bedroom","True","False",32440.6000003815
391,311,"1_tb_1_s_s_ex",1,"critical",5,"basket","basket","True",6025.40000009537,391,"True Belief","Start","Start","Explicit","box","basket","False","True",34717.6999998093
394,318,"5_tb_1_e_s_im",5,"critical",5,"study","bathroom","False",8636.70000004768,394,"True Belief","End","Start","Implicit","hall","study","False","False",30981.6000000238
397,215,"7_tb_1_e_e_im",7,"critical",5,"fridge","pop","False",71712.2000007629,397,"True Belief","End","End","Implicit","garage","fridge","False","False",769.699999809265
400,179,"1_tb_1_s_s_ex",1,"critical",5,"basket","basket","True",17561.8000001907,400,"True Belief","Start","Start","Explicit","box","basket","False","True",45856.5999999046
403,190,"8_tb_1_s_e_ex",8,"critical",5,"bedroom","nice","False",12077.8999999762,403,"True Belief","Start","End","Explicit","hall","bedroom","False","False",1621.19999998808
406,386,"1_tb_1_s_e_im",1,"critical",5,"basket","basket","True",8866,406,"True Belief","Start","End","Implicit","box","basket","False","True",24642
409,210,"4_fb_1_s_s_ex",4,"critical",5,"shed","shed","True",6401,409,"False Belief","Start","Start","Explicit","shed","garage","True","False",27641
412,339,"2_tb_1_e_s_im",2,"critical",5,"fridge","cupboard","False",7780.20000004768,412,"True Belief","End","Start","Implicit","cupboard","fridge","True","False",21048.8999999762
415,356,"11_fb_1_e_e_im",11,"critical",5,"suitcase","suitcase","True",10816.6000000015,415,"False Belief","End","End","Implicit","suitcase","backpack","True","False",16666.8000000007
418,270,"9_tb_1_e_e_ex",9,"critical",5,"drawer","cupboard","False",9606.5,418,"True Belief","End","End","Explicit","cupboard","drawer","True","False",16465.7999999523
421,123,"8_tb_1_s_e_im",8,"critical",5,"bedroom","hall.","False",14889.9000000358,421,"True Belief","Start","End","Implicit","hall","bedroom","False","False",47028.5
424,126,"3_fb_1_e_s_ex",3,"critical",5,"sink","basket","False",47891.7999999821,424,"False Belief","End","Start","Explicit","sink","basket","False","True",11366.599999994
427,214,"11_fb_1_e_s_ex",11,"critical",5,"suitcase","suitcase","True",8924.89999999851,427,"False Belief","End","Start","Explicit","suitcase","backpack","True","False",51846
430,146,"12_tb_1_e_s_ex",12,"critical",5,"hut","stable","False",13277,430,"True Belief","End","Start","Explicit","stable","hut","True","False",20963
433,503,"12_tb_1_s_e_im",12,"critical",5,"hut","barn","False",4140.80000001192,433,"True Belief","Start","End","Implicit","stable","hut","False","False",4281.90000000596
436,250,"11_tb_1_s_e_im",11,"critical",5,"backpack","TRAIN","False",10401.1999998093,436,"True Belief","Start","End","Implicit","suitcase","backpack","False","False",3145
439,201,"12_fb_1_e_s_im",12,"critical",5,"stable","stable","True",10150.200000003,439,"False Belief","End","Start","Implicit","stable","hut","True","False",57701.5
442,411,"10_tb_1_s_e_im",10,"critical",5,"van","van","True",4285.59999999776,442,"True Belief","Start","End","Implicit","toolbox","van","False","True",23557.9000000022
445,309,"5_tb_1_s_e_im",5,"critical",5,"study","hall ","False",47383.3999999985,445,"True Belief","Start","End","Implicit","hall","study","False","False",16646.3999999985
448,437,"12_tb_1_s_e_ex",12,"critical",5,"hut","hut","True",9264.70000000298,448,"True Belief","Start","End","Explicit","stable","hut","False","True",25879.400000006
451,413,"9_fb_1_s_s_im",9,"critical",5,"cupboard","cupboard","True",12030.2999999523,451,"False Belief","Start","Start","Implicit","cupboard","drawer","True","False",16575.7000000477
454,107,"2_tb_1_s_e_im",2,"critical",5,"fridge","cupboard","False",43952,454,"True Belief","Start","End","Implicit","cupboard","fridge","True","False",24760.2999997139
457,377,"12_tb_1_s_s_ex",12,"critical",5,"hut","bathsoab","False",13112,457,"True Belief","Start","Start","Explicit","stable","hut","False","False",6625
460,300,"4_tb_1_e_s_ex",4,"critical",5,"garage","garage","True",8807,460,"True Belief","End","Start","Explicit","shed","garage","False","True",65520.1999999993
463,283,"12_fb_1_e_e_ex",12,"critical",5,"stable","stable","True",10714.5,463,"False Belief","End","End","Explicit","stable","hut","True","False",22369.5
466,154,"11_tb_1_e_e_ex",11,"critical",5,"backpack","backpack","True",28393,466,"True Belief","End","End","Explicit","suitcase","backpack","False","True",36114
469,363,"4_tb_1_s_e_im",4,"critical",5,"garage","garage","True",17069,469,"True Belief","Start","End","Implicit","shed","garage","False","True",48620.8999999911
472,267,"1_fb_1_e_e_im",1,"critical",5,"box","box","True",5812,472,"False Belief","End","End","Implicit","box","basket","True","False",33097
475,398,"4_tb_1_e_s_im",4,"critical",5,"garage","garage","True",7499.09999999776,475,"True Belief","End","Start","Implicit","shed","garage","False","True",13386.5999999978
478,372,"3_tb_1_s_s_ex",3,"critical",5,"basket","sink","False",4834,478,"True Belief","Start","Start","Explicit","sink","basket","True","False",12661.6999999881
481,390,"8_tb_1_e_e_ex",8,"critical",5,"bedroom","world","False",16211,481,"True Belief","End","End","Explicit","hall","bedroom","False","False",3356
484,181,"4_fb_1_s_s_im",4,"critical",5,"shed","shed","True",8308.60000014305,484,"False Belief","Start","Start","Implicit","shed","garage","True","False",26870.2999999523
487,381,"7_tb_1_e_s_ex",7,"critical",5,"fridge","refrigerator","False",14628.7000000011,487,"True Belief","End","Start","Explicit","garage","fridge","False","False",19195.5999999996
490,147,"8_tb_1_s_e_ex",8,"critical",5,"bedroom","hall","False",25118.1000001431,490,"True Belief","Start","End","Explicit","hall","bedroom","True","False",47465.9000000954
493,482,"8_fb_1_e_e_im",8,"critical",5,"hall","hall","True",5190,493,"False Belief","End","End","Implicit","hall","bedroom","True","False",20763
496,466,"5_fb_1_s_e_im",5,"critical",5,"hall","hall","True",7932.40000000596,496,"False Belief","Start","End","Implicit","hall","study","True","False",23703.8000000119
499,262,"11_tb_1_e_s_ex",11,"critical",5,"backpack","suitcase","False",9964.69999992847,499,"True Belief","End","Start","Explicit","suitcase","backpack","True","False",40424.6000000238
502,161,"6_tb_1_e_s_ex",6,"critical",5,"cabinet","cabinet","True",11197.799999997,502,"True Belief","End","Start","Explicit","drawer","cabinet","False","True",44163.3999999985
505,371,"5_fb_1_e_e_im",5,"critical",5,"hall","study","False",23968.9000000358,505,"False Belief","End","End","Implicit","hall","study","False","True",43181.5
508,224,"2_fb_1_s_s_ex",2,"critical",5,"cupboard","cupboard","True",21446.3000000007,508,"False Belief","Start","Start","Explicit","cupboard","fridge","True","False",31689.9000000022
511,460,"8_tb_1_s_e_im",8,"critical",5,"bedroom","bedroom","True",8337.90000009537,511,"True Belief","Start","End","Implicit","hall","bedroom","False","True",16314.5
514,139,"11_fb_1_s_e_ex",11,"critical",5,"suitcase","suitcase","True",38244.2999999821,514,"False Belief","Start","End","Explicit","suitcase","backpack","True","False",58220.3000000119
517,294,"9_fb_1_s_s_ex",9,"critical",5,"cupboard","drawer","False",13007.2999999523,517,"False Belief","Start","Start","Explicit","cupboard","drawer","False","True",19872.3000000119
520,408,"4_tb_1_e_s_ex",4,"critical",5,"garage","shed","False",26146.1000000238,520,"True Belief","End","Start","Explicit","shed","garage","True","False",25929.1000000238
523,464,"9_tb_1_s_s_im",9,"critical",5,"drawer","drawer","True",5456.90000009537,523,"True Belief","Start","Start","Implicit","cupboard","drawer","False","True",28746
526,420,"12_fb_1_s_s_ex",12,"critical",5,"stable","bench","False",27708.4000000954,526,"False Belief","Start","Start","Explicit","stable","hut","False","False",1992.29999995232
529,298,"5_tb_1_s_e_ex",5,"critical",5,"study","hall","False",15430,529,"True Belief","Start","End","Explicit","hall","study","True","False",44886
532,292,"1_tb_1_s_s_im",1,"critical",5,"basket","library.","False",31731.3999999762,532,"True Belief","Start","Start","Implicit","box","basket","False","False",67763.7999999523
535,312,"8_tb_1_e_s_im",8,"critical",5,"bedroom","bedroom","True",22079,535,"True Belief","End","Start","Implicit","hall","bedroom","False","True",22697
538,379,"8_fb_1_e_s_ex",8,"critical",5,"hall","hall","True",18243.7999999523,538,"False Belief","End","Start","Explicit","hall","bedroom","True","False",40241.3999998569
541,346,"12_tb_1_s_e_im",12,"critical",5,"hut","yes","False",32046.4000000954,541,"True Belief","Start","End","Implicit","stable","hut","False","False",2356.70000004768
544,328,"1_fb_1_s_e_ex",1,"critical",5,"box","BOX","True",8791,544,"False Belief","Start","End","Explicit","box","basket","True","False",23914
547,404,"5_fb_1_e_s_im",5,"critical",5,"hall","keys","False",47281,547,"False Belief","End","Start","Implicit","hall","study","False","False",1458
550,480,"1_fb_1_e_e_im",1,"critical",5,"box","box","True",5290.5,550,"False Belief","End","End","Implicit","box","basket","True","False",12159.8000000715
553,211,"3_tb_1_s_e_ex",3,"critical",5,"basket","basket ","False",11879,553,"True Belief","Start","End","Explicit","sink","basket","False","False",25730
556,439,"1_fb_1_e_e_ex",1,"critical",5,"box","nice","False",13713.8999999762,556,"False Belief","End","End","Explicit","box","basket","False","False",2034.89999997616
559,301,"10_fb_1_s_s_ex",10,"critical",5,"toolbox","toolbox","True",10855.200000003,559,"False Belief","Start","Start","Explicit","toolbox","van","True","False",42128.5
562,207,"10_fb_1_s_e_ex",10,"critical",5,"toolbox","tool box ","False",16100.6000000238,562,"False Belief","Start","End","Explicit","toolbox","van","False","False",42827.2000000477
565,321,"3_tb_1_s_e_ex",3,"critical",5,"basket","basket","True",11445.900000006,565,"True Belief","Start","End","Explicit","sink","basket","False","True",45208
568,349,"4_tb_1_e_s_ex",4,"critical",5,"garage","shed","False",21135,568,"True Belief","End","Start","Explicit","shed","garage","True","False",23947
571,280,"9_fb_1_e_e_im",9,"critical",5,"cupboard","cupboard","True",8292.19999998808,571,"False Belief","End","End","Implicit","cupboard","drawer","True","False",40073
574,316,"7_fb_1_s_s_ex",7,"critical",5,"garage","garage","True",6162,574,"False Belief","Start","Start","Explicit","garage","fridge","True","False",99163.4000000954
577,450,"8_fb_1_e_e_im",8,"critical",5,"hall","hall","True",6404,577,"False Belief","End","End","Implicit","hall","bedroom","True","False",31483
580,305,"10_tb_1_e_e_im",10,"critical",5,"van","van","True",42583.3999999911,580,"True Belief","End","End","Implicit","toolbox","van","False","True",88689.700000003
583,417,"1_fb_1_s_e_ex",1,"critical",5,"box","box","True",30242.799999997,583,"False Belief","Start","End","Explicit","box","basket","True","False",22133.3999999985
586,153,"8_tb_1_e_s_im",8,"critical",5,"bedroom","bedroom","True",74154.0999999046,586,"True Belief","End","Start","Implicit","hall","bedroom","False","True",72707.0999999046
589,560,"1_fb_1_e_s_ex",1,"critical",5,"box","box","True",3580,589,"False Belief","End","Start","Explicit","box","basket","True","False",4512
592,383,"4_fb_1_s_e_ex",4,"critical",5,"shed","shed","True",9651.19999998808,592,"False Belief","Start","End","Explicit","shed","garage","True","False",33165.6999999881
595,319,"3_fb_1_e_e_im",3,"critical",5,"sink","GOOD","False",59262.9000000358,595,"False Belief","End","End","Implicit","sink","basket","False","False",1965.09999996424
598,397,"1_tb_1_e_s_ex",1,"critical",5,"basket","box","False",9780.89999997616,598,"True Belief","End","Start","Explicit","box","basket","True","False",14065.5
601,483,"3_tb_1_s_s_ex",3,"critical",5,"basket","dirty","False",5197.20000004768,601,"True Belief","Start","Start","Explicit","sink","basket","False","False",15439.6000000238
604,456,"3_tb_1_s_s_im",3,"critical",5,"basket","basket","True",7554.90000003576,604,"True Belief","Start","Start","Implicit","sink","basket","False","True",40788
607,494,"1_tb_1_s_s_ex",1,"critical",5,"basket","kitchen","False",3706,607,"True Belief","Start","Start","Explicit","box","basket","False","False",12321
610,511,"11_fb_1_e_s_im",11,"critical",5,"suitcase","suitcase","True",10940,610,"False Belief","End","Start","Implicit","suitcase","backpack","True","False",35089
613,245,"9_fb_1_s_s_im",9,"critical",5,"cupboard","KITCHEN","False",16191.7000000477,613,"False Belief","Start","Start","Implicit","cupboard","drawer","False","False",26188
616,489,"5_fb_1_s_s_ex",5,"critical",5,"hall","hall","True",9207.09999999404,616,"False Belief","Start","Start","Explicit","hall","study","True","False",27056.3999999911
619,385,"9_fb_1_e_e_ex",9,"critical",5,"cupboard","CUPBOARD","True",17436,619,"False Belief","End","End","Explicit","cupboard","drawer","True","False",27462
622,369,"11_tb_1_s_s_ex",11,"critical",5,"backpack","backpack","True",8727.89999999851,622,"True Belief","Start","Start","Explicit","suitcase","backpack","False","True",85856.3999999985
625,399,"8_fb_1_s_s_ex",8,"critical",5,"hall","bedroom","False",8052,625,"False Belief","Start","Start","Explicit","hall","bedroom","False","True",39802
628,396,"3_fb_1_e_s_im",3,"critical",5,"sink","sink","True",14399,628,"False Belief","End","Start","Implicit","sink","basket","True","False",54063
631,375,"1_fb_1_s_s_im",1,"critical",5,"box","5","False",12730,631,"False Belief","Start","Start","Implicit","box","basket","False","False",8891
634,477,"4_tb_1_e_e_im",4,"critical",5,"garage","house","False",4204,634,"True Belief","End","End","Implicit","shed","garage","False","False",73488
637,355,"5_fb_1_s_s_im",5,"critical",5,"hall","HALL","True",59774,637,"False Belief","Start","Start","Implicit","hall","study","True","False",16115
640,487,"3_fb_1_s_s_im",3,"critical",5,"sink","sink","True",8953.69999999925,640,"False Belief","Start","Start","Implicit","sink","basket","True","False",24162.8999999985
643,353,"6_tb_1_s_e_im",6,"critical",5,"cabinet","drawer","False",9779.70000004768,643,"True Belief","Start","End","Implicit","drawer","cabinet","True","False",35436.5
646,523,"1_fb_1_s_s_ex",1,"critical",5,"box","basket","False",9137.39999997616,646,"False Belief","Start","Start","Explicit","box","basket","False","True",24611.3000000119
649,524,"3_fb_1_e_s_ex",3,"critical",5,"sink","sink","True",5597.2999997139,649,"False Belief","End","Start","Explicit","sink","basket","True","False",23666.0999999046
652,388,"7_fb_1_e_e_im",7,"critical",5,"garage","fridge.","False",18568.5999999978,652,"False Belief","End","End","Implicit","garage","fridge","False","False",46235.3000000007
655,254,"2_tb_1_e_e_im",2,"critical",5,"fridge","fridge","True",47878.3999999985,655,"True Belief","End","End","Implicit","cupboard","fridge","False","True",27735.6000000015
658,225,"3_tb_1_e_s_ex",3,"critical",5,"basket","sink","False",79609.5,658,"True Belief","End","Start","Explicit","sink","basket","True","False",16188.3000001907
